Device ID,NMOS3_C8R5,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
4.778,5.0733E-07,3.12E-13,0.1
4.889,5.18257E-07,2.97E-13,0.1
5,5.29842E-07,2.83E-13,0.1
5.111,5.4065E-07,2.84E-13,0.1
5.222,5.50818E-07,3.03E-13,0.1
5.333,5.6158E-07,2.81E-13,0.1
5.444,5.72554E-07,2.95E-13,0.1
5.556,5.81518E-07,3.07E-13,0.1
5.667,5.92747E-07,3.17E-13,0.1
5.778,6.0331E-07,3.85E-13,0.1
5.889,6.11593E-07,3.12E-13,0.1
6,6.22361E-07,2.98E-13,0.1
6.111,6.30392E-07,3.04E-13,0.1
6.222,6.40236E-07,4.01E-13,0.1
6.333,0.000000646,2.79E-13,0.1
6.444,6.56338E-07,3.54E-13,0.1
6.556,6.66621E-07,3.38E-13,0.1
6.667,0.000000675,3.19E-13,0.1
6.778,6.82744E-07,3.81E-13,0.1
6.889,6.91115E-07,3.72E-13,0.1
7,6.99936E-07,3.75E-13,0.1
7.111,7.06506E-07,4.13E-13,0.1
7.222,7.13564E-07,3.78E-13,0.1
7.333,7.22167E-07,3.8E-13,0.1
7.444,7.30054E-07,3.89E-13,0.1
7.556,7.36298E-07,3.73E-13,0.1
7.667,7.42708E-07,4.02E-13,0.1
7.778,7.50648E-07,3.91E-13,0.1
7.889,7.58381E-07,3.95E-13,0.1
8,7.64332E-07,4.22E-13,0.1
8.111,7.69342E-07,4.1E-13,0.1
8.222,7.76241E-07,4.37E-13,0.1
8.333,7.83085E-07,4.28E-13,0.1
8.444,7.86141E-07,4.28E-13,0.1
8.556,7.90795E-07,4.35E-13,0.1
8.667,7.97667E-07,4.36E-13,0.1
8.778,8.04354E-07,4.41E-13,0.1
8.889,0.00000081,4.53E-13,0.1
9,8.13127E-07,4.36E-13,0.1
9.111,8.19553E-07,4.65E-13,0.1
9.222,8.25387E-07,4.45E-13,0.1
9.333,8.31708E-07,4.62E-13,0.1
9.444,8.3486E-07,4.63E-13,0.1
9.556,8.4276E-07,4.68E-13,0.1
9.667,8.4807E-07,4.88E-13,0.1
9.778,8.51836E-07,4.92E-13,0.1
9.889,0.000000855,4.69E-13,0.1
10,8.60064E-07,4.83E-13,0.1
10,8.23334E-07,3.87E-13,0.1
9.889,7.37588E-07,2.5E-13,0.1
9.778,6.63907E-07,1.98E-13,0.1
9.667,5.97896E-07,1.21E-13,0.1
9.556,5.41503E-07,6.8E-14,0.1
9.444,4.88313E-07,3.4E-14,0.1
9.333,4.41666E-07,2.3E-14,0.1
9.222,3.98748E-07,-3.1E-14,0.1
9.111,3.60603E-07,-2.1E-14,0.1
9,3.25114E-07,-2.8E-14,0.1
8.889,2.92824E-07,-3.2E-14,0.1
8.778,2.63113E-07,-8.4E-14,0.1
8.667,2.35609E-07,-9.2E-14,0.1
8.556,2.10756E-07,-1.13E-13,0.1
8.444,1.8749E-07,-1.17E-13,0.1
8.333,1.66768E-07,-1.14E-13,0.1
8.222,1.47936E-07,-1.19E-13,0.1
8.111,1.30697E-07,-1.39E-13,0.1
8,1.14671E-07,-1.33E-13,0.1
7.889,1.00659E-07,-1.41E-13,0.1
7.778,8.78345E-08,-1.58E-13,0.1
7.667,7.59224E-08,-1.72E-13,0.1
7.556,6.54481E-08,-1.47E-13,0.1
7.444,5.63973E-08,-2.28E-13,0.1
7.333,0.000000048,-1.65E-13,0.1
7.222,4.0582E-08,-2.71E-13,0.1
7.111,3.44739E-08,-2.39E-13,0.1
7,2.87085E-08,-1.93E-13,0.1
6.889,0.000000024,-2.41E-13,0.1
6.778,1.98172E-08,-2.32E-13,0.1
6.667,1.62242E-08,-2.16E-13,0.1
6.556,1.31986E-08,-2.42E-13,0.1
6.444,1.06245E-08,-2.59E-13,0.1
6.333,8.62093E-09,-1.82E-13,0.1
6.222,6.80063E-09,-2.51E-13,0.1
6.111,5.34464E-09,-2.85E-13,0.1
