Device ID,EDOP3_C10R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
4.889,1.33785E-06,2.31E-13,0.1
5,1.36174E-06,2.2E-13,0.1
5.111,1.38526E-06,2.19E-13,0.1
5.222,1.40912E-06,2.44E-13,0.1
5.333,1.43259E-06,2.29E-13,0.1
5.444,1.45619E-06,2.4E-13,0.1
5.556,1.48008E-06,2.54E-13,0.1
5.667,1.50328E-06,2.49E-13,0.1
5.778,1.52635E-06,2.66E-13,0.1
5.889,1.54926E-06,2.59E-13,0.1
6,1.57226E-06,2.85E-13,0.1
6.111,1.59521E-06,2.82E-13,0.1
6.222,1.61771E-06,2.58E-13,0.1
6.333,1.64006E-06,3.07E-13,0.1
6.444,1.66237E-06,3.1E-13,0.1
6.556,1.68532E-06,2.95E-13,0.1
6.667,1.7071E-06,3.06E-13,0.1
6.778,1.7286E-06,3.05E-13,0.1
6.889,1.74982E-06,3.19E-13,0.1
7,1.77133E-06,3.17E-13,0.1
7.111,1.79229E-06,3.37E-13,0.1
7.222,1.81323E-06,3.36E-13,0.1
7.333,1.83387E-06,3.46E-13,0.1
7.444,1.85409E-06,3.44E-13,0.1
7.556,1.87445E-06,3.52E-13,0.1
7.667,1.89433E-06,3.62E-13,0.1
7.778,0.000001914,3.78E-13,0.1
7.889,1.93335E-06,3.51E-13,0.1
8,1.95235E-06,3.86E-13,0.1
8.111,1.97123E-06,3.9E-13,0.1
8.222,1.98983E-06,3.86E-13,0.1
8.333,0.000002008,3.78E-13,0.1
8.444,2.02618E-06,4.12E-13,0.1
8.556,2.04443E-06,4.11E-13,0.1
8.667,0.000002062,4.11E-13,0.1
8.778,2.07987E-06,4.29E-13,0.1
8.889,2.09672E-06,4.45E-13,0.1
9,2.11369E-06,4.58E-13,0.1
9.111,2.13027E-06,4.51E-13,0.1
9.222,2.14682E-06,4.45E-13,0.1
9.333,2.16326E-06,4.76E-13,0.1
9.444,0.000002179,4.92E-13,0.1
9.556,2.19536E-06,5.07E-13,0.1
9.667,2.21084E-06,4.96E-13,0.1
9.778,2.22687E-06,5.14E-13,0.1
9.889,2.24235E-06,5.39E-13,0.1
10,2.25746E-06,5.58E-13,0.1
Device ID,EDOP3_C8R8,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-10,4.70279E-10,-1.148E-12,0.1
-9.889,5.92435E-10,-6.55E-13,0.1
-9.778,6.93872E-10,-4.29E-13,0.1
-9.667,8.00793E-10,-3.04E-13,0.1
-9.556,9.16363E-10,-2.24E-13,0.1
-9.444,0.000000001,-1.78E-13,0.1
-9.333,1.18629E-09,-1.33E-13,0.1
-9.222,1.34981E-09,-7.3E-14,0.1
-9.111,1.52846E-09,-4.3E-14,0.1
-9,1.72284E-09,-7E-15,0.1
-8.889,1.94105E-09,-2E-15,0.1
-8.778,2.18448E-09,1.1E-14,0.1
-8.667,2.45019E-09,9E-15,0.1
-8.556,2.74713E-09,3.8E-14,0.1
-8.444,3.07767E-09,3.5E-14,0.1
-8.333,3.4367E-09,3.8E-14,0.1
-8.222,3.83535E-09,4.9E-14,0.1
-8.111,4.27373E-09,5.6E-14,0.1
-8,4.75625E-09,5.3E-14,0.1
-7.889,5.28125E-09,6E-14,0.1
-7.778,5.86702E-09,6.8E-14,0.1
-7.667,6.50089E-09,5.9E-14,0.1
-7.556,7.19393E-09,7.4E-14,0.1
-7.444,0.000000008,9.2E-14,0.1
-7.333,8.78508E-09,7.5E-14,0.1
-7.222,9.68369E-09,7.6E-14,0.1
-7.111,1.066243E-08,7.3E-14,0.1
-7,1.16832E-08,6.5E-14,0.1
-6.889,1.28462E-08,7.3E-14,0.1
-6.778,1.41075E-08,8E-14,0.1
-6.667,1.54603E-08,7.4E-14,0.1
-6.556,1.6916E-08,9E-14,0.1
-6.444,1.84917E-08,9.3E-14,0.1
-6.333,2.01856E-08,8E-14,0.1
-6.222,0.000000022,7.8E-14,0.1
-6.111,0.000000024,6.4E-14,0.1
-6,2.60727E-08,8.7E-14,0.1
-5.889,2.833E-08,9.3E-14,0.1
-5.778,3.0747E-08,8.6E-14,0.1
-5.667,3.3336E-08,1.04E-13,0.1
-5.556,3.60944E-08,8.6E-14,0.1
-5.444,3.90611E-08,9.5E-14,0.1
-5.333,4.21922E-08,8.2E-14,0.1
-5.222,4.55331E-08,7.7E-14,0.1
-5.111,4.90826E-08,1.06E-13,0.1
-5,5.28747E-08,9.8E-14,0.1
-4.889,5.69006E-08,1.14E-13,0.1
-4.778,6.11754E-08,-8.7E-14,0.1
-4.667,6.56751E-08,-4.5E-14,0.1
-4.556,7.04576E-08,2.89E-13,0.1
-4.444,7.5559E-08,5.5E-14,0.1
-4.333,8.08621E-08,5.3E-14,0.1
-4.222,8.65168E-08,1.42E-13,0.1
-4.111,9.24506E-08,1.7E-13,0.1
-4,9.87458E-08,5.4E-14,0.1
-3.889,1.053592E-07,1.453E-12,0.1
-3.778,1.122742E-07,-4.31E-13,0.1
-3.667,1.19375E-07,-1.2E-13,0.1
-3.556,1.27085E-07,-1.24E-13,0.1
-3.444,1.35173E-07,-3.9E-14,0.1
-3.333,1.43596E-07,9.2E-14,0.1
-3.222,1.52428E-07,5.2E-14,0.1
-3.111,1.61606E-07,8.3E-14,0.1
-3,1.71268E-07,8.3E-14,0.1
-2.889,1.81349E-07,7E-14,0.1
-2.778,1.91831E-07,2.4E-14,0.1
-2.667,2.02628E-07,1.28E-13,0.1
-2.556,2.14085E-07,1.24E-13,0.1
-2.444,2.26158E-07,3.5E-14,0.1
-2.333,2.38445E-07,8.5E-14,0.1
-2.222,2.51276E-07,6.1E-14,0.1
-2.111,2.64554E-07,9.5E-14,0.1
-2,2.78379E-07,9.9E-14,0.1
-1.8889,2.92686E-07,9.6E-14,0.1
-1.7778,3.07584E-07,8.8E-14,0.1
-1.6667,0.000000323,1.02E-13,0.1
-1.5556,3.38733E-07,1E-13,0.1
-1.4444,3.55183E-07,9E-14,0.1
-1.3333,3.72121E-07,9.5E-14,0.1
-1.2222,3.8959E-07,1.15E-13,0.1
-1.1111,4.07644E-07,1.06E-13,0.1
-1,4.26092E-07,8.4E-14,0.1
-0.8889,4.4513E-07,9.5E-14,0.1
-0.7778,4.6469E-07,1.24E-13,0.1
-0.6667,4.84846E-07,9.8E-14,0.1
-0.5556,5.0531E-07,1.04E-13,0.1
-0.4444,5.26516E-07,1.02E-13,0.1
-0.3333,0.000000548,1.04E-13,0.1
-0.2222,5.70179E-07,9.3E-14,0.1
-0.1111,5.92637E-07,1.17E-13,0.1
0,6.15461E-07,8.6E-14,0.1
0.1111,6.38934E-07,1.1E-13,0.1
0.2222,0.000000663,1.3E-13,0.1
0.3333,6.87322E-07,7.3E-14,0.1
0.4444,7.11909E-07,1.18E-13,0.1
0.5556,7.37327E-07,1E-13,0.1
0.6667,7.62687E-07,9.8E-14,0.1
0.7778,7.88502E-07,9.5E-14,0.1
0.8889,8.14732E-07,8.6E-14,0.1
1,8.41268E-07,8.7E-14,0.1
1.1111,8.67772E-07,1.17E-13,0.1
1.2222,0.000000895,1.15E-13,0.1
1.3333,9.22174E-07,1.37E-13,0.1
1.4444,9.49388E-07,1.27E-13,0.1
1.5556,9.77141E-07,1.42E-13,0.1
1.6667,0.000001005,1.32E-13,0.1
1.7778,1.033568E-06,1.34E-13,0.1
1.8889,0.000001062,1.37E-13,0.1
2,1.090566E-06,1.35E-13,0.1
2.111,1.119457E-06,1.41E-13,0.1
2.222,1.14757E-06,1.18E-13,0.1
2.333,1.17729E-06,1.37E-13,0.1
2.444,1.20654E-06,1.33E-13,0.1
2.556,1.2366E-06,1.36E-13,0.1
2.667,1.26615E-06,1.73E-13,0.1
2.778,1.2961E-06,1.49E-13,0.1
2.889,1.3262E-06,1.72E-13,0.1
3,1.35666E-06,1.43E-13,0.1
3.111,1.38678E-06,1.55E-13,0.1
3.222,0.000001417,1.92E-13,0.1
3.333,0.000001447,1.52E-13,0.1
3.444,1.47738E-06,1.83E-13,0.1
3.556,1.50793E-06,1.52E-13,0.1
3.667,1.53932E-06,1.8E-13,0.1
3.778,1.57007E-06,1.48E-13,0.1
3.889,1.6012E-06,1.54E-13,0.1
4,1.63183E-06,1.58E-13,0.1
4.111,1.66255E-06,1.88E-13,0.1
